hotel_name,location,wrote,rating,title,review_text
Secrets Cap Cana Resort & Spa,"Munich, Germany",September 2021,5,Secrets Cap Cana,"Es la mejor experiencia para viajar en Santo Domingo. Excelentes instalaciones y el personal del hotel es increíblemente amable. Recuerdo a Phillippe, la persona que estuvo a cargo de mi hospedaje desde el momento en el cual llegué. Fue muy atento y amable. Y todo el personal que está en la playa es muy amable, servicial y atento. Recuerdo a María, Vanessa, Chary, Benito y a Héctor, quien ofrece un agua de coco deliciosa. Allá regresaré. Fue una estadía maravillosa."
Secrets Cap Cana Resort & Spa,"Guaynabo, null, Puerto Rico",September 2021,5,Vacaciones inolvidables,"Es nuestro segundo viaje a este hotel y volví porque es lo mejor, de lo mejor: las instalaciones, la playa, el clima, la atención de todos los trabajadores. Destaco a Brigi y Abraham en la playa, a Marleni, Ysa, Juan, José, Pacheco en los restaurantes. A Sergio, nuestro concierge. Pero en general a todos quienes nos atendieron en cada uno de los espacios donde estuvimos haciendo de nuestras vacaciones un hermoso recuerdo. Pd/ Dice mi esposa que su lugar predilecto en el hotel fue Coco café con la gran atención por parte de Dania y Melvin"
Secrets Cap Cana Resort & Spa,"Guaynabo, null, Puerto Rico",September 2021,5,Excelente Hotel!!!,"Todo en el hotel fue espectacular. Las instalaciones, la habitación y los restaurantes están en muy buenas condiciones y están decorados con mucho gusto. Por otro lado, la atención recibida de los empleados fue fenomenal. Especialmente Carlito y Benito en el bar de la playa preferred, Ericson restaurante Francés, Rafael el Chef y Gerlyn nuestro mayordomo fueron muy atentos y se esmeraron por hacer de nuestras vacaciones las mejores… un reconocimiento especial para todo el staff de Secrets Cap Cana! Sin duda Secrets Cap Cana es uno de los mejores hoteles que hemos visitado y no dudaríamos en regresar de nuevo."
Secrets Cap Cana Resort & Spa,"Guaynabo, null, Puerto Rico",August 2021,5,Secrets Cap Cana Resort & Spa,"Atención excelente por parte del Concierge Darling Taveras quien siempre estuvo al pendiente de nosotros e hizo lo mejor para que el cumpleaños celebrado fuera inolvidable. El hotel y personal en general es inmejorable, sin duda regresaremos."
Secrets Cap Cana Resort & Spa,"Guaynabo, null, Puerto Rico",August 2021,5,Íntimo y hermoso,"El hotel es bello, íntimo, comida excelente y un servicio como solo lo saben hacer en la República Dominicana. Recomiendo la habitación con piscina. Gracias a Marlon, Junior, Madeline y Matiel por tratarnos como en casa y siempre con una sonrisa."
Secrets Cap Cana Resort & Spa,"Guaynabo, null, Puerto Rico",August 2021,5,Gran experiencia,"Decidimos pasar nuestras vacaciones en Secrets Cap Cana y ha sido una gran experiencia, especialmente gracias a Leonardo nuestro mayordomo, que estuvo muy atento con nosotros y a Stefany y Carlito del bar de la playa y en general a todos las personas con las que hemos coincidido en el hotel"
Secrets Cap Cana Resort & Spa,"Uvero Alto, Dominican Republic",August 2021,5,Weekend of rest.,"Una Excelente estadía! Las instalaciones y la playa ESPECTACULARES. La habitación: espaciosa, perfecto balance de iluminación y ambientación, baño amplio y cómodo. Buena vista (hasta desde la ducha); moderno y fino. La atención de: Miguel en Mayordomía. Renson en el bufet desayuno. Rosa, bar tender Preferred Lounge. Jose Alberto ( Thriller sub chef en el rest Mexicano) y las margaritas de Kelvin. Y el helado frito del rest. Japonés. Gracias por la atención y hacer de el fin de semana una experiencia memorable."
Secrets Cap Cana Resort & Spa,"Uvero Alto, Dominican Republic",August 2021,5,"Fabuloso hotel y gran servicio, con oportunidades de mejora. Tomar en cuenta las limitaciones y aterrizar expectativas.","Estuvimos en Secrets Cap Cana, en habitación preferred Swin out. Super recomendable. LO MEJOR: El hotel es realmente muy bonito, esta bien mantenido, ordenado, y la mayor parte al aire libre. Con las siempre esperadas palmeras por todos lados. Las habitaciones, 5 puntos. Espaciosa, super cómodo el colchon, y la ropa de cama super suave. Nuestra habitacion contaba con acceso a piscina y eso es un plus. El baño super cómodo, doble ducha y agua caliente abundante. Todo incluido, servicio 24 horas. Piscinas grandes, varios jacuzzis. Gimnasio muy completo. Todos te atienden con gran sonrisa y te ofrecen de todo. En la playa preferred super servicio de Vanessa, Stephany, Maria, Benito, Jackson ( espero no olvidarme de nadie). Siempre atentos a lo que pudieramos necesitar. También"
Secrets Cap Cana Resort & Spa,"Uvero Alto, Dominican Republic",August 2021,5,fantástico todo,"Una estancia 10, hemos cogido una habitación preferred club con vistas al mar y hay que decir que genial. Atención 10, un toque especial para Samuel (recepción) Leonardo y como camarera Espe. La comida genial, los cócteles maravillosos..."
Secrets Cap Cana Resort & Spa,"Uvero Alto, Dominican Republic",August 2021,5,Lindas vacaciones!,"La pasamos súper! Muy lindo el hotel. Los cuartos de la zona prefered con salida a la piscina top! Lo MEJOR el servicio! Alexis el mejor Buttler, nos ayudó a que la estadía fluyera de la mejor manera. En la playa Vanessa, Benito Jackson y Stephanie se encargaron de engreírnos! Nos vamos felices!"
Secrets Cap Cana Resort & Spa,"Uvero Alto, Dominican Republic",August 2021,5,Caribe de lujo,"El Secrets Cap Cana cumple las expectativas. Combina a la perfección el relax y descanso con la animación propia del Caribe. Es bonito, cómodo y elegante. El todo incluido es de calidad, los variados restaurantes ofrecen un buen producto gastronómico y puedes marchar de tu estancia en el hotel con algún kilo de más. El personal atento en todo momento. Nosotros estuvimos en la Preferred zone pero pudimos ver que era igual en todo el hotel. Muchas gracias a todos por hacer nuestra estancia tan especial. No puedo recordar todos los nombres pero lo personificaré en Miguel por su atención y en Esperanza que nos atendió cada día con su sonrisa y alegría en la piscina, atenta a que no nos faltara bebida o comida en ningún momento. También los barman del Preferred Club que elaboran unos"
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",August 2021,5,EXCELENTE,"Vacaciones 10 en un hotel 10, es la segunda de vez que estamos en el resort y nunca defrauda, cuidando siempre el mínimo detalle. Nos ha dado tristeza irnos porque hemos creado vinculos muy buenos con muchos de los trabajadores de allí. Empezando por el servicio de bar en piscina nuestros camareros Madelyn (siempre sonriente y encantadora) Gustavo (preparando los mejores mojitos) , Manuela y Zunny siempre con una sonrisa y tratandonos de la mejor manera y con el mayor cariño posible. El equipo de animación Nelson (el gato) un placer hacer cada una de las actividades del daily ya que siempre tendria una sonrisa, unq broma y un buen rollo para nosotros. Los chicos de acomodamiento en piscina Vilbela y Yohe siempre dispuestos a darnos el mejor servicio. Desde nuestra llegada ha"
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",August 2021,5,El mejor servicio,"Muy buen hotel, los colaboradores fueron muy serviciales en especial Manuel nuestro concierge nos hizo sentir como reyes, el sabe el significado de un buen servicio y sin duda es un empleado que aporta un gran valor a la empresa."
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",August 2021,5,Hotel excelente,"Acabo de regresar con mi familia de pasar 11 días en el hotel. La verdad es que el sitio me ha encantado pero tengo que decir que lo más importante son las personas que trabajan en el hotel. Hacen que tu estancia en el hotel se convierta en especial. Son amables , serviciales y encantadores. Hacen que disfrutes de tus vacaciones. Me gustaría dar las gracias a Darling , nuestro Concierge por su amabilidad y por su buen hacer. Siempre pendiente de nosotros Mención especial para el apartado gastronómico. Zorionak Ibai. Eskerrik asko por tu amabilidad y cercania. Gracias al resto de trabajadores. Nombrarlos a todos sería imposible. Sois un gran equipo. Las cosas funcionan cuando las personas que trabajan son profesionales. Muchas gracias. Han sido unas vacaciones"
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",August 2021,5,El mejor lugar con el mejor servicio,"La estancia en Secrets Cap Cana ha sido inmejorable. Empezando por el servicio de nuestro concierge, Darling. Su atención ha sido increíble, siempre atento y cuidando hasta el más mínimo detalle. Si tuviera que resaltar algo de este resort en comparación con otros sería el apartado gastronómico. No sólo hay una gran variedad, sino que la calidad del producto está fuera de toda duda. Nuestra más sincera enhorabuena tanto a Ibai Torres, el chef ejecutivo como a todo el resto de chefs y ayudantes de cocina. Han conseguido que nuestra estancia sea maravillosa. El servicio en la piscina y la animación también ha sido increíble, y el personal de las actividades acuáticas en la playa siempre ha estado dispuesto a ayudarnos en todo lo que necesitásemos. Gracias a todos los trabajadores,"
Secrets Cap Cana Resort & Spa,"Villaviciosa, Spain",August 2021,4,SECRETS CAP CANA,"La comida es muy buena, la habitaciones e instalaciones muy limpias. El personal del hotel es muy amable y siempre están dispuestos a ayudar a los huéspedes con cualquier cosa, excepto cambiar la musica (mas abajo hablo de esto) . Martínez, nuestro Concierge fue extremadamente amable e hizo todo a su alcance para que mi novia y yo tuviésemos una celebración de aniversario inolvidable. La razón por la que no voto “excelente” es por la falta de música latina y/o actividades y shows que reflejen más la cultura local. Con respecto a los shows y la música, la experiencia fue más como haberme hospedado en un hotel en Estados Unidos. Aunque, los cantantes son fenomenales, los shows en mi opinión deberían ser más variados. La única oportunidad para bailar con mi pareja fue al final de"
Secrets Cap Cana Resort & Spa,"Barcelona, Venezuela",August 2021,5,ESPECTACULAR,"Vacaciones de 10, excelente servicio, limpieza, comida y atención. Sin duda el mejor resort que hemos visitado. Todo un sinfín de detalles y atenciones. Desde aquí quiero aprovechar para agradecer a todas y cada una de las personas que trabajan en el resort, desde Carlos, persona que se encargó de que durante nuestra estancia todo estuviese a nuestro gusto, pasando por Santa quien cada mañana hacía que nuestra estancia en la piscina fuese perfecta así como Nelson (The Cat) y sus partidas de ping pong con mis hijos (se lo pasaron genial), y como no nuestro amigo Rafael, proporcionándonos un gran vino cada noche a la hora de la cena. Gracias también a Ibai Torres, chef del resort por su hospitalidad y amabilidad, dar con un chef vasco es todo un lujo. Sin duda es un resort"
Secrets Cap Cana Resort & Spa,"Barcelona, Venezuela",August 2021,4,Muy buena experiencia,"Hotel fantástico, cómodo y bonito. El personal del hotel es maravilloso y muy atento. El único pero es la playa, que deja mucho que desear por la gran cantidad de algas. También echamos de menos algo más de ocio nocturno dentro del hotel, ya que a las 23h se acaba todo."
Secrets Cap Cana Resort & Spa,"Barcelona, Venezuela",August 2021,4,Gran Piscina y Servicio - playa mediocre,"Lo Malo: La playa no tiene el color hermoso que muestran las imágenes, habían muchas algas que arruinaban su color y uso, y adicionalmente habían muchas piedras, molestando el ingreso al mar. Faltó mayor limpieza de playa. A la vez, el doctor 24hrs y tiene un costo elevadísimo por un diagnóstico (y es diferenciado según la hora del día, elevándose en la noche). El Spa, además de ser carísimo, no es de primer nivel y la atención dista de considerar al cliente primero. Lo bueno: Sin usar la playa, el doctor y spa, el hotel nos sorprendió gratamente, es muy bueno, recomendado 100%, pero siento que el mérito de lo lleva Gerlyn, el concierge designado a nuestra estadía. Gerlyn nos prestó solución y atención contante a lo que pidiéramos. Debo destacar su gestión con la toma de PCR"
Secrets Cap Cana Resort & Spa,"Barcelona, Venezuela",August 2021,5,Bienvenidos a casa!,"Habitaciones de primera, servicio del personal de primera, comida en los restaurantes excelente! En la zona de playa fuimos atendidos por Abraham que hizo nuestros días de playa de lujo!!!! También JLO! Nos sentimos mimados!!! El personal está entrenado para que ningún detalle se pase por alto, Sergio fue nuestro Concierge de primera, cualquier detalle que necesitábamos saber él nos daba la información, las actividades, etc, si había consultas, Sergio lo evacuaba todo, todo nos solucionaba al toque. En los restaurantes cada uno nos sirvió como si fuéramos únicos en todo el hotel! Nunca escuchamos esto no se puede o mala cara, o cara de cansancio. La limpieza de las habitaciones perfectas! Lo recomendaríamos siempre!"
Secrets Cap Cana Resort & Spa,"Barcelona, Venezuela",August 2021,5,Gran experiencia. Vacaciones inolvidables.,"Ha sido una experiencia inolvidable y seguro que repetiremos en breve. La atención del personal es inmejorable. Destacamos la atención y simpatía de Abraham y Chari del beach bar, del equipo del Coco Café (Esther, Luis, Melvin, Raquel y Dania), de Madelin, Sonia e Iván del buffet, José que hace unas tortillas increíbles, de José el salvavidas y de El Gato. En cuanto a las instalaciones, ninguna queja. Todo limpio y en buenas condiciones. El gimnasio tiene todo lo necesario para poder entrenar. La cama es muy cómoda. La comida destaca por su gran variedad tanto en los distintos restaurantes como en el buffet. Sin duda, recomendable."
Secrets Cap Cana Resort & Spa,"Hopewell Junction, New York",August 2021,5,No lo duden y lleguen!!,"Un fin de semana de relajación con buenos amigos en un lugar espectacular!! Cada mañana comenzaba el día con un café exquisito gracias al equipo del Coco Café (Esther, Melvin, Raquel y Dania) si pudiera me los llevaría conmigo! Que servicio de primera!! El spa, la piscina, las actividades de ejercicios como el zumba (el gato) y shows en la noche muy buenos!! Definitivamente regresamos!!"
Secrets Cap Cana Resort & Spa,"Hopewell Junction, New York",August 2021,5,Consierge Gerlyn Guerrero,"Excelente en su desempeño, amigable, respetuoso y responsable. Busca alternativas para hacernos sentir en casa. Brinda un servicio excepcional, coordinando todo lo referente a nuestra estadía y salida del hotel. Agradecidos por su servicio."
Secrets Cap Cana Resort & Spa,"Hopewell Junction, New York",August 2021,5,Consierge Gerlyn Guerrero,"Excelente servicio, siempre al pendiente de nosotros y nuestras necesidades. Nos hizo sentir en casa. Servicial, atento, respetuoso. Pendiente a cada detalle necesario para que nuestra estadía fuese lo más placentera posible."
Secrets Cap Cana Resort & Spa,"Hopewell Junction, New York",July 2021,5,Happy birthday,Excelente servicio … la atención personalizada de la que disfrutamos desde el momento de nuestra llegada hasta nuestra salida fue excepcional… nuestro conserje ANIBAL se preocupó por cada uno de los detalles que hicieron de nuestra estancia ⭐️ ⭐️⭐️⭐️⭐️
Secrets Cap Cana Resort & Spa,"Hopewell Junction, New York",July 2021,5,Excelente,"Me gustó mucho el trato de la gente, la habitación el lugar todo para la próxima me gustaría una de las habitaciones del primer nivel que tiene piscina, y que la playa este sin zargazo, para poder disfrutar las playas"
Secrets Cap Cana Resort & Spa,"Santiago, Chile",July 2021,5,Dominican VIP experience.,"La hospitalidad que recibes en cada momento en el lugar realmente te hacen sentir en casa. Nuestro Concierge, Darling Taveras, nos mantuvo consentidos en todo momento y estuvo al tanto de nuestra comodidad desde el primer minuto hasta el momento del check out. Instalaciones inmejorables con excelentes restaurantes temáticos con deliciosos platillos y con opciones vegetarianas. En la playa preferred Carlito y Manuela nos dieron atención VIP, amabilidad y calidez. En verdad no hay un momento que no te sientas perfectamente atendido por todo el staff. Ampliamente recomendado."
Secrets Cap Cana Resort & Spa,"Santiago, Chile",July 2021,5,Servicio excelente en entorno inmejorable,Era la primera vez que probábamos esta cadena hotelera en nuestros viajes al Caribe y nos ha sorprendido muy gratamente la calidad excelente del servicio y las instalaciones del hotel. Repetiremos seguro
Secrets Cap Cana Resort & Spa,"Santiago, Chile",July 2021,5,Awesome trip,"Fue una estadía excelente. Todo el staff es sumamente atento y con la mejor disposición. Philippe, nuestro concierge, estuvo siempre a la altura y nos ayudó con todo lo que pedimos, en especial con las flores, champagne y asistencia para la propuesta de matrimonio. La cena en la playa con música en vivo estuvo super buena, nada más que decir. Estuvo increíble. Definitivamente es un plus el servicio y la atención de este hotel, todo fue un éxito. Totalmente agradecido con todos, son excelentes."
Secrets Cap Cana Resort & Spa,"Santiago, Chile",August 2021,5,Superó todas nuestras expectativas!,"Lo pasamos excelente! El hotel es bellísimo, las habitaciones, las piscinas y restaurantes excelentes. Increíble el hotel en general, el trato del staff es maravilloso, en especial Phillippe quien hizo nuestras vacaciones muchísimo mejores ayudándonos en todo momento. Vale la pena estar en el área prefered ya que tiene muchos beneficios par hacer tu viaje más especial! Gracias a todo el equipo de secrets cap cana, sin duda vamos a regresar!!"
